,Name,Price,Category,Lighting_Conditions,Longevity,Average_Height,Uses,Imagen
408,Urtica dioica, $5.50 ,Potted Plants,PS-FS,HP (zones 4 to 9),3 feet,C D L M,http://companionplants.com/catalog/images/thumbs/Urtica%20dioica.jpg
409,Asclepias incarnata, $3.50 ,Seeds,FS,HP(zones 3-8),4 FEET,B M N O,http://companionplants.com/catalog/images/Photo_Unavail.jpg
410,Asclepias tuberosa, $3.50 ,Seeds,FS,HP (zones 3 - 9),2 FEET,B M N O,http://companionplants.com/catalog/images/thumbs/Asclepias%20tuberosa.jpg
411,Datura inoxia Seed, $3.50 ,Seeds,FS,A-HP,2 FEET,L M O,http://companionplants.com/catalog/images/thumbs/Datura%20inoxia.jpg
412,Lippia dulcis, $3.50 ,Seeds,PS-FS,TP (to zone 9),8 INCHES,C M O,http://companionplants.com/catalog/images/thumbs/Lippia%20dulcis.jpg
413,Lobelia inflata seed, $3.50 ,Seeds,PS-FS,A,18 INCHES,M N,http://companionplants.com/catalog/images/thumbs/Lobelia%20inflata.jpg
414,Mentha pulegium, $3.50 ,Seeds,PS-FS,HP (zones 6-9),12 INCHES,A B C H M R,http://companionplants.com/catalog/images/thumbs/Mentha%20pulegium.jpg
415,Ruta graveolens, $3.50 ,Seeds,FS,HP (zones 4-9),2 FEET,A C L M O R,http://companionplants.com/catalog/images/plants%20021.jpg
416,Saponaria officinalis Seed, $3.50 ,Seeds,PS-FS,HP (zones 2-9),3 FEET,C M O,http://companionplants.com/catalog/images/thumbs/Saponaria%20officinalis.jpg
417,Withania somnifera Seed, $3.50 ,Seeds,FS,TP,4 FEET,D M O,http://companionplants.com/catalog/images/Photo_Unavail.jpg
418,Anthemis nobilis Seed, $3.50 ,Seeds,PS-FS,HP (zones 6-9),4 INCHES,A D M O,http://companionplants.com/catalog/images/Photo_Unavail.jpg
419,Anthemis tinctoriaseed, $3.50 ,Seeds,PS-FS,HP(zones 3-7),2 1/2 FEET,D M O,http://companionplants.com/catalog/images/thumbs/06-28-15%20002.JPG
420,Artemisia annua Seed, $3.50 ,Seeds,FS,A,7 FEET,A E M O R,http://companionplants.com/catalog/images/Artemisia%20annua.jpg
421,Chenopodium album Seed, $3.50 ,Seeds,FS,A,8 FEET,C,http://companionplants.com/catalog/images/thumbs/07-30-14%20027.JPG
422,Chenopodium ambrodioides Seed, $3.50 ,Seeds,FS,A,4 FEET,A C M,http://companionplants.com/catalog/images/thumbs/7-19-09%20022.jpg
423,Chenopodium giganticum Seed, $3.50 ,Seeds,FS,A,6 FEET,C O,http://companionplants.com/catalog/images/thumbs/6-14-09%20003.jpg
424,Chrysanthemum cinerariaefolium seed, $3.50 ,Seeds,FS,HP (zones 5 - 9),18 INCHES,R O,http://companionplants.com/catalog/images/thumbs/Chrysanthemum%20cinerarieaefolium.jpg
425,Cnicus benedictus Seed, $3.50 ,Seeds,FS,A,2 FEET,L M,http://companionplants.com/catalog/images/Photo_Unavail.jpg
426,Coix lacryma Seed, $3.50 ,Seeds,FS,A,4 FEET,C L M O,http://companionplants.com/catalog/images/thumbs/Coix-lachryma%20jobi.jpg
427,Datura stramonium Seed, $3.50 ,Seeds,FS,A,4 FEET,L M N O,http://companionplants.com/catalog/images/Datura%20stramonium%20-%20Jimson%20Weed.jpg
428,Digitalis lutea, $3.50 ,Seeds,PS-FS,HP (zones 3-9),3 FEET,M O,http://companionplants.com/catalog/images/thumbs/Digitalis%20lutea.jpg
429,Dipsacus sativus Fullonum Seed, $3.50 ,Seeds,FS,B (zones 5-8),6 FEET,E M O,http://companionplants.com/catalog/images/thumbs/Digitalis%20lutea.jpg
430,Echinacea pallida, $3.50 ,Seeds,FS,HP (zones 4-8),3 FEET,E M N O,http://companionplants.com/catalog/images/thumbs/6-25-09%20020.jpg
