,Name,Price,Category,Lighting_Conditions,Longevity,Average_Height,Uses,Imagen
160,Ocimum gratissimum Seed, $3.50 ,Seeds,FS,TP,8 FEET,A C H M R,http://companionplants.com/catalog/images/thumbs/Ocimum%20gratissimum.jpg
161,Ocimum kilimanscharicum, $5.00 ,Potted Plants,FS,A,5 feet,A M O R,http://companionplants.com/catalog/images/thumbs/Camphor%20Basil.jpg
162,Ocimum sanctum purple Tulsi form Seed, $3.50 ,Seeds,FS,A,3 FEET,A C M O R,http://companionplants.com/catalog/images/thumbs/Camphor%20Basil.jpg
163,Ocimum sanctum Seed, $3.50 ,Seeds,FS,A,18 INCHES,A C H M O R,http://companionplants.com/catalog/images/thumbs/Camphor%20Basil.jpg
164,Ocimum selloi, $5.25 ,Potted Plants,PS-FS,TP,3 feet,C M O R,http://companionplants.com/catalog/images/thumbs/Green%20Pepper%20Basil.jpg
165,Ocimum viride Seed, $3.50 ,Seeds,FS,TP,4 FEET,A H M R,http://companionplants.com/catalog/images/thumbs/Ocimum%20viride.jpg
166,Oenothera biensis, $5.00 ,Potted Plants,FS,B (zones 4 to 8),6 feet,M O,http://companionplants.com/catalog/images/thumbs/aloe%20056.jpg
167,Origanum dictamnus, $6.00 ,Potted Plants,FS,TP (zones 8 to 10),8 inches,A C L M O,http://companionplants.com/catalog/images/thumbs/Origanum%20dictamnus.jpg
168,Origanum onites, $5.00 ,Potted Plants,PS-FS,TP (zones 6 to 10),18 inches,A C H O,http://companionplants.com/catalog/images/thumbs/Pot%20Marjoram.jpg
169,Origanum viride, $5.00 ,Potted Plants,FS,HP (zones 5 to 9),18 inches,A C,http://companionplants.com/catalog/images/thumbs/7-19-09%20026.jpg
170,Origanum vulgare 'Aureum', $5.00 ,Potted Plants,FS,HP (zones 4 to 10),8 inches,A H O,http://companionplants.com/catalog/images/thumbs/7-19-09%20026.jpg
171,Origanum vulgare Seed, $3.50 ,Seeds,FS,HP ( zones 5-9),18 INCHES,A C D E H M,http://companionplants.com/catalog/images/Photo_Unavail.jpg
172,Parthenium integrifolium Seed, $3.50 ,Seeds,FS,HP,3 FEET,B E H M O,http://companionplants.com/catalog/images/thumbs/Parthenium%20integrifolium.jpg
173,Passiflora incarnata, $8.00 ,Potted Plants,PS-FS,HP (zones 6 to 10),25 feet,B C M N O,http://companionplants.com/catalog/images/thumbs/plants%20046.jpg
174,Peganum harmala Seed, $3.50 ,Seeds,FS,HP (zones 6-10),5 FEET,D L M,http://companionplants.com/catalog/images/thumbs/Peganum%20harmala.jpg
175,Pelargonium 'Citrosum', $5.00 ,Potted Plants,PS-FS,TP,3 feet,A O R,http://companionplants.com/catalog/images/thumbs/7-19-12%20037.jpg
176,Pelargonium fragrans, $5.00 ,Potted Plants,PS-FS,TP,18 inches,A C O,http://companionplants.com/catalog/images/thumbs/Nutmeg%20Geranium.jpg
177,Pelargonium graveolens var, $5.00 ,Potted Plants,PS-FS,TP,3 feet,A C O,http://companionplants.com/catalog/images/thumbs/Old%20Fashion%20Rose%20Geranium.jpg
178,Pelargonium odoratissimum, $5.00 ,Potted Plants,PS-FS,TP,18 inches,A C O,http://companionplants.com/catalog/images/thumbs/7-19-12%20038.jpg
179,Perovskia atriplicifolia, $5.00 ,Potted Plants,FS,HP (zones 6 to 9),3 feet,A E M O,http://companionplants.com/catalog/images/thumbs/7-19-12%20031.jpg
180,Phalaris aquatica 'AQ1', $8.00 ,Potted Plants,PS-FS,HP,5 feet,L,http://companionplants.com/catalog/images/Photo_Unavail.jpg
181,Phytolacca americana Seed, $3.50 ,Seeds,PS-FS,HP (zones 3-9),8 FEET,D M N,http://companionplants.com/catalog/images/Photo_Unavail.jpg
182,Piper betel, $16.00 ,Potted Plants,PS-FS,TP,to 15 feet,M O,http://companionplants.com/catalog/images/thumbs/7-19-09%20033.jpg
183,Piper nigrum, $16.00 ,Potted Plants,PS-FS,TP,to 15 feet,A C M,http://companionplants.com/catalog/images/thumbs/Piper%20nigrum.jpg
184,Piper sarmentosum, $15.00 ,Potted Plants,PS-FS,TP,30 feet to 30 feet,C M,http://companionplants.com/catalog/images/thumbs/Piper%20sarmentosum.jpg
185,Pogostemon patchouli, $8.50 ,Potted Plants,PS,TP,4 feet,A M L R,http://companionplants.com/catalog/images/thumbs/Pogostemum%20patchouli.jpg
186,Poliomintha longiflora, $5.00 ,Potted Plants,PS-FS,TP,4 feet,A B C O,http://companionplants.com/catalog/images/thumbs/7-19-09%20023.jpg
187,Polygonatum biflorum, $5.00 ,Potted Plants,sh-PS,HP (zones 3 to 9),2 feet,M N O,http://companionplants.com/catalog/images/Photo_Unavail.jpg
188,Polygonum multiflorum, $5.25 ,Potted Plants,PS-FS,HP (zones 6 to 10),to 25 feet,M,http://companionplants.com/catalog/images/thumbs/7-20-12%20011.jpg
189,Poncirus trifoliata, $6.00 ,Potted Plants,PS-FS,TP-HP (zones 6 to 8),10 feet,A C M O,http://companionplants.com/catalog/images/Poncirus%20trifoliata.jpg
190,Poterium sanguisorba Seed, $3.50 ,Seeds,FS,HP (zones 4-8),18 INCHES,C M,http://companionplants.com/catalog/images/thumbs/Poterium%20sanguisorba.jpg
191,Prunella vulgaris, $5.00 ,Potted Plants,PS-FS,HP (zones 4 to 9),12 inches,M O,http://companionplants.com/catalog/images/thumbs/7-21-12%20002.jpg
192,Pyrethrum roseum Seed, $3.50 ,Seeds,FS,HP (zones 3-9),18 INCHES,O R,http://companionplants.com/catalog/images/thumbs/Pyrethrum%20roseum.jpg
193,Reseda luteola Seed, $3.50 ,Seeds,FS,B,6 FEET,D H O,http://companionplants.com/catalog/images/thumbs/Reseda%20luteola.JPG
194,Reseda odorata Seed, $3.50 ,Seeds,FS,A,2 Feet,A B M,http://companionplants.com/catalog/images/thumbs/Reseda%20odorata.jpg
195,Rivea corymbosa, $10.00 ,Potted Plants,PS-FS,TP,30 feet,L M O,http://companionplants.com/catalog/images/thumbs/Rivea%20corymbosa.jpg
196,Rosmarinus angustifolia, $5.00 ,Potted Plants,FS,TP,4 feet to 4 feet,A O,http://companionplants.com/catalog/images/thumbs/Pine-Scented%20Ros..jpg
197,Rosmarinus off 'Prostratus', $5.00 ,Potted Plants,FS,TP,2 feet,A C O,http://companionplants.com/catalog/images/thumbs/7-19-09%20014.jpg
198,Rosmarinus officinalis 'Arp', $5.25 ,Potted Plants,FS,TP-HP,4 feet,A C O,http://companionplants.com/catalog/images/Photo_Unavail.jpg
199,Rosmarinus officinalis 'Barbeque', $5.00 ,Potted Plants,FS,TP,4 feet,A C M,http://companionplants.com/catalog/images/thumbs/7-21-12%20012.jpg
200,Rosmarinus officinalis 'Gorizia', $5.00 ,Potted Plants,FS,TP,5 feet,A C O,http://companionplants.com/catalog/images/thumbs/07-30-14%20033.JPG
201,Rosmarinus officinalis 'Salem', $5.25 ,Potted Plants,FS,TP-HP,4 feet,A C O,http://companionplants.com/catalog/images/thumbs/7-21-12%20013.jpg
202,Rosmarinus officinalis, $5.00 ,Potted Plants,FS,TP (zones 7 to 10),5 feet,A C M O,http://companionplants.com/catalog/images/thumbs/Rosmarinus%20off..jpg
203,Rubia tinctoria, $5.00 ,Potted Plants,FS,HP (zones 5 to 9),12 inches,D,http://companionplants.com/catalog/images/thumbs/Madder.jpg
204,Rumex acetosa, $5.00 ,Potted Plants,PS-FS,HP (zones 4 to 9),18 inches,C M,http://companionplants.com/catalog/images/Photo_Unavail.jpg
205,Rumex acetosella, $5.00 ,Potted Plants,FS,HP (zones 4 to 9),12 inches,C M,http://companionplants.com/catalog/images/thumbs/7-21-12%20008.jpg
206,Rumex crispus Seed, $3.50 ,Seeds,PS-FS,B-HP,4 FEET,D M,http://companionplants.com/catalog/images/thumbs/Rumex%20crispus.jpg
207,Ruta graveolens, $5.00 ,Potted Plants,FS,HP (zones 5 to 9),2 feet,L M O R,http://companionplants.com/catalog/images/plants%20021.jpg
208,Salvia apiana Seed, $3.50 ,Seeds,FS,TP,3 to 6 FEET,A D H L M O,http://companionplants.com/catalog/images/plants%20043.jpg
209,Salvia coccinea Seed, $3.50 ,Seeds,FS,A-TP,2 FEET,B H M O,http://companionplants.com/catalog/images/thumbs/Salvia%20coccinea.jpg
210,Salvia officinalis 'Nana', $5.00 ,Potted Plants,FS,HP (zones 5 to 9),10 inches,A C M O,http://companionplants.com/catalog/images/thumbs/Salvia%20coccinea.jpg
211,Salvia officinalis 'Purpurea', $5.00 ,Potted Plants,FS,HP (zones 5 to 9),18 inches,A C O,http://companionplants.com/catalog/images/Photo_Unavail.jpg
212,Salvia officinalis 'TriColor', $5.00 ,Potted Plants,FS,TP (zones 6 to 9),2 feet,A C O,http://companionplants.com/catalog/images/Photo_Unavail.jpg
213,Salvia officinalis Seed, $3.50 ,Seeds,fs,HP (zones 5-9),2 FEET,A C H L M O,http://companionplants.com/catalog/images/Photo_Unavail.jpg
214,Salvia sclarea Seed, $3.50 ,Seeds,FS,B (zones 4-9),30 INCHES,A C M O,http://companionplants.com/catalog/images/thumbs/Salvia%20sclerea.jpg
215,Saxifraga stolonifera, $5.00 ,Potted Plants,PS,HP (zones 6 to 9),18 inches,C M O,http://companionplants.com/catalog/images/thumbs/Saxifraga%20stolonifera.jpg
216,Sceletium tortuosum, $8.75 ,Cacti/Succulents,PS-FS,TP,14 inches,L M O,http://companionplants.com/catalog/images/thumbs/3-13-11%20002.jpg
217,Scutellaria lateriflora, $5.00 ,Potted Plants,PS-FS,HP,3 feet,M N,http://companionplants.com/catalog/images/thumbs/7-09-09%20007.jpg
218,Silybum marianum Seed, $3.50 ,Seeds,PS-FS,A-B,6 FEET,C M O,http://companionplants.com/catalog/images/thumbs/Silybum%20marianum.jpg
219,Solanum mammosum, $5.00 ,Potted Plants,PS-FS,TP,4 feet,M O,http://companionplants.com/catalog/images/thumbs/7-19-12%20036.jpg
220,Solanum quitoense, $7.00 ,Potted Plants,PS-FS,TP,5 feet,C O,http://companionplants.com/catalog/images/thumbs/Solanum%20Quitonense%20-%20Naranjilla.jpg
221,Solidago odora, $6.00 ,Potted Plants,FS,HP (zones 4 to 9),5 feet,A C D M N O,http://companionplants.com/catalog/images/thumbs/Solidago%20odora%20-%20Sweet%20Goldenrod.jpg
222,Spilanthes acmella, $5.00 ,Potted Plants,PS-FS,TP,18 inches,C M O,http://companionplants.com/catalog/images/plants%20035.jpg
223,Stachys affinis, $5.00 ,Potted Plants,FS,HP,18 inches,C,http://companionplants.com/catalog/images/thumbs/7-09-09%20019.jpg
224,Stachys officinalis 'nana' seeds, $3.50 ,Seeds,PS-FS,HP zones 3 - 8),8 INCHES,M O,http://companionplants.com/catalog/images/thumbs/7-09-09%20019.jpg
225,Stachys officinalis seeds, $3.50 ,Seeds,PS-FS,HP (zones 4 to 8),2 FEET,D M O,http://companionplants.com/catalog/images/thumbs/6-14-09%20032.jpg
226,Symphytum off var, $5.00 ,Potted Plants,PS-FS,HP (zones 5 to 9),18 inches,C H M O,http://companionplants.com/catalog/images/thumbs/July%2014%202012%20009.jpg
227,Symphytum officinale, $5.50 ,Potted Plants,PS-FS,HP (zones 3 to 9),4 feet,C H M O,http://companionplants.com/catalog/images/thumbs/Symphytum%20officinalis.jpg
228,Tanacetum balsamita, $5.00 ,Potted Plants,FS,HP (zones 5 to 8),4 feet,A C M R,http://companionplants.com/catalog/images/Photo_Unavail.jpg
229,Tanacetum niveum seeds, $3.50 ,Seeds,FS,HP (zones 6-9),3 FEET,A O R,http://companionplants.com/catalog/images/thumbs/6-14-09%20008.jpg
230,Tanacetum vulgare 'Crispum', $5.00 ,Potted Plants,PS-FS,HP (zones 4 to 8),2 feet,A O R,http://companionplants.com/catalog/images/thumbs/Curled%20Tansy.jpg
231,Tanacetum vulgare, $5.00 ,Potted Plants,PS-FS,HP (zones 4 to 8),4 feet,A D E M O R,http://companionplants.com/catalog/images/Tanacetum%20vulgare.jpg
232,Teucrium chamaedrys, $5.00 ,Potted Plants,FS,HP (zones 5 to 10),18 inches,M O,http://companionplants.com/catalog/images/thumbs/Teucrium%20chamaedrys.jpg
233,Teucrium marum, $6.00 ,Potted Plants,FS,TP,10 inches,A M O,http://companionplants.com/catalog/images/thumbs/Teucrium%20marum.jpg
234,Thymus glabrescens, $4.85 ,Potted Plants,FS,HP (zones 5 to 9),4 inches,A O,http://companionplants.com/catalog/images/thumbs/7-21-12%20015.jpg
235,Thymus herbabarona, $4.85 ,Potted Plants,FS,HP (zones 5 to 9),4 inches,A B C H M O,http://companionplants.com/catalog/images/thumbs/6-22-14%20(9).JPG
236,Thymus praecox ssp arcticus 'Albus', $4.85 ,Potted Plants,FS,HP (zones 5 to 9),2 inches,B H O,http://companionplants.com/catalog/images/thumbs/6-22-14%20(13).JPG
237,Thymus pulegioides, $4.85 ,Potted Plants,FS,HP (zone 4 to 9),6 inches,A B C H M O,http://companionplants.com/catalog/images/thumbs/Thymus%20pulegioides.JPG
238,Thymus sp, $4.85 ,Potted Plants,FS,HP,14 inches,A C,http://companionplants.com/catalog/images/Photo_Unavail.jpg
239,Thymus sp, $4.85 ,Potted Plants,FS,HP (zones 5 to 9),3 inches,A B C H O,http://companionplants.com/catalog/images/thumbs/7-19-09%20004.jpg
240,Thymus vulgaris 'Narrowleaf French', $4.85 ,Potted Plants,FS,HP (zones 5 to 9),12 inches,A C M,http://companionplants.com/catalog/images/Photo_Unavail.jpg
241,Thymus vulgaris seeds, $3.50 ,Seeds,FS,HP (zones 5 to 9),14 INCHES,A C M,http://companionplants.com/catalog/images/Photo_Unavail.jpg
242,Thymus x citriodorus 'Aureus', $4.85 ,Potted Plants,FS,HP (zones 5 to 9),8 inches,A C O,http://companionplants.com/catalog/images/thumbs/Golden%20Lemon%20Thyme.JPG
243,Thymus x citriodorus, $4.85 ,Potted Plants,FS,HP (zones 5 to 9),12 inches,A C M O,http://companionplants.com/catalog/images/thumbs/7-20-12%20002.jpg
244,Tradescantia ohioensis, $5.00 ,Potted Plants,PS-FS,HP (zones 5 to 9),3 feet,D M N O,http://companionplants.com/catalog/images/thumbs/July%2014%202012%20024.jpg
245,Trichocereus pachanoi, $25.00 ,Cacti/Succulents,FS,TP (zones 8 to 12),to 18 feet,L O,http://companionplants.com/catalog/images/thumbs/7-19-09%20036.jpg
246,Trichocereus peruvianus, $20.00 ,Cacti/Succulents,FS,TP (zones 8 to 12),10 feet,L O,http://companionplants.com/catalog/images/thumbs/7-19-09%20038.jpg
247,Tulbaghia violacea 'Variegata', $5.00 ,Potted Plants,FS,TP,2 feet,A C M O R,http://companionplants.com/catalog/images/thumbs/7-19-09%20012.jpg
248,Tussilago farfara, $5.00 ,Potted Plants,FS,HP,12 inches,M O,http://companionplants.com/catalog/images/thumbs/Tussilago%20farfara.jpg
249,Typha latifolia, $6.00 ,Potted Plants,FS,HP (in USDA Zones 3 to 11),9 feet,C E N O,http://companionplants.com/catalog/images/Photo_Unavail.jpg
250,Valeriana officinalis, $5.50 ,Potted Plants,FS,HP (zones 4 to 9),5 feet,A M O,http://companionplants.com/catalog/images/thumbs/may%2029%202013%20004.jpg
251,Vanilla planifolia 'Fragrans', $20.00 ,Potted Plants,PS,TP,Vine to 30 feet,C O,http://companionplants.com/catalog/images/thumbs/aloe%20025.jpg
252,Verbascum blattaria seeds, $3.50 ,Seeds,FS,B (zones 4 to 9),4 FEET,M O R,http://companionplants.com/catalog/images/thumbs/Verbascum%20blattaria%202.jpg
253,Verbascum thapsus, $3.50 ,Seeds,PS-FS,B (zones 3 to 9),8 Feet,L M O,http://companionplants.com/catalog/images/thumbs/7-15-09%20004.jpg
254,Verbena hastata seed, $3.50 ,Seeds,PS-FS,HP (zones 3 to 9),5 FEET,B M N O,http://companionplants.com/catalog/images/thumbs/Verbena%20hastata.jpg
255,Verbena officinalis seeds, $3.50 ,Seeds,PS-FS,HP (zones 4 to 9),2 FEET,L M,http://companionplants.com/catalog/images/thumbs/Verbena%20officinalis.jpg
256,Vernonia noveboracensis, $5.00 ,Potted Plants,PS-FS,HP (zones 5 to 9),6 FEET,B M N O,http://companionplants.com/catalog/images/Photo_Unavail.jpg
257,Veronicastrum virginicum, $5.00 ,Potted Plants,FS,HP (zones 3 to 8),6 FEET,M N O,http://companionplants.com/catalog/images/thumbs/Veronicastrum%20virginicum.jpg
258,Vetiveria zizanioides, $8.00 ,Potted Plants,PS-FS,TP (zones 8 to 10),8 FEET,A C M O R,http://companionplants.com/catalog/images/thumbs/Vetiveria%20zizanioides.jpg
259,Vitex agnuschastus seed, $3.50 ,Seeds,FS,HP (zones 6 to 9),10 FEET,A H M O,http://companionplants.com/catalog/images/thumbs/Vitex%20agnus-chastus.jpg
260,Withania somnifera, $5.25 ,Potted Plants,FS,TP,7 FEET,D M O,http://companionplants.com/catalog/images/Photo_Unavail.jpg
261,Zingiber officinale, $6.00 ,Potted Plants,PS,TP,3 feet,C M O,http://companionplants.com/catalog/images/thumbs/07-30-14%20023.JPG
262,Atropa belladonna Seed, $3.50 ,Seeds,PS-FS,HP,3 FEET,L M O,http://companionplants.com/catalog/images/thumbs/Atropa%20belladonna.jpg
263,Belamcanda chinensis Seed, $3.50 ,Seeds,FS,HP (zones 5-9),30 INCHES,M O,http://companionplants.com/catalog/images/thumbs/Belamcanda%20chinensis.jpg
264,Lobelia cardinalis Seed, $3.50 ,Seeds,PS-FS,HP (zones 3-9),4 FEET,B M N O,http://companionplants.com/catalog/images/thumbs/Lobelia%20cardinalis.jpg
265,Lobelia syphilitica, $3.50 ,Seeds,PS-FS,HP (zones 3-9),3 FEET,B M N O,http://companionplants.com/catalog/images/thumbs/Lobelia%20syphilitica.jpg
266,Polygonum tinctorium Seed, $3.50 ,Seeds,PS-FS,A,3 FEET,D M,http://companionplants.com/catalog/images/thumbs/Polygonum%20tinctorium.jpg
267,Vernonia noveboracensis seed, $3.50 ,Seeds,PS-FS,HP (zones 5-10),6 FEET,B M N O,http://companionplants.com/catalog/images/Photo_Unavail.jpg
268,Argyreia nervosa Seed, $3.50 ,Seeds,PS-FS,TP,30 FEET,L M O,http://companionplants.com/catalog/images/thumbs/Argyreia%20nervosa.jpg
269,Borago officinalis Seed, $3.50 ,Seeds,FS,A,3 FEET,B C H M O,http://companionplants.com/catalog/images/Photo_Unavail.jpg
270,Calendula officinalis Seed, $3.50 ,Seeds,PS-FS,A,12 INCHES,C D H M O,http://companionplants.com/catalog/images/thumbs/Calendula.jpg
271,Carthamus tinctorius Seed, $3.50 ,Seeds,FS,A,3 FEET,C D M O,http://companionplants.com/catalog/images/Photo_Unavail.jpg
272,Carum carvi Seed, $3.50 ,Seeds,FS,B (zones 3-9),2 FEET,C M,http://companionplants.com/catalog/images/Photo_Unavail.jpg
273,Chelidonium majus Seed, $3.50 ,Seeds,PS-FS,HP (zones 5-9),2 FEET,D M O,http://companionplants.com/catalog/images/thumbs/Chelidonium%20majus.jpg
274,Chenopodium botrys Seed, $3.50 ,Seeds,FS,A,2 FEET,A E M O,http://companionplants.com/catalog/images/thumbs/Chenopodium%20botrys.JPG
275,Cichorium intybus Seed, $3.50 ,Seeds,FS,B (zones 4-8),4 FEET,C M O,http://companionplants.com/catalog/images/Photo_Unavail.jpg
276,Coriandrum sativum Seed, $3.50 ,Seeds,PS-FS,A,2 FEET,A C M,http://companionplants.com/catalog/images/Photo_Unavail.jpg
277,Daucus carota Seed, $3.50 ,Seeds,FS,B,3 FEET,C M O,http://companionplants.com/catalog/images/Daucus%20carota.jpg
278,Desmanthus illinoensis Seed, $3.50 ,Seeds,PS-FS,HP,4 FEET,M N O,http://companionplants.com/catalog/images/thumbs/Desmanthus%20illinoiensis.jpg
279,Digitalis lanata Seed, $3.50 ,Seeds,PS-FS,b-hp (zones 4-9),30 INCHES,M O,http://companionplants.com/catalog/images/thumbs/Digitalis%20lanata.jpg
280,Dioscorea batatas, $3.50 ,Seeds,PS-FS,HP,20 FEET,C M O,http://companionplants.com/catalog/images/thumbs/Dioscorea%20batatas.jpg
281,Dipsacus sylvestris Seed, $3.50 ,Seeds,FS,B (zones 5-8),6 FEET,E M O,http://companionplants.com/catalog/images/Photo_Unavail.jpg
282,Echinacea purpurea Seed, $3.50 ,Seeds,FS,HP (zones 3-9),3 FEET,B E M N O,http://companionplants.com/catalog/images/thumbs/Echinacea%20purpurea.jpg
283,Ephedra nevadensis Seed, $3.50 ,Seeds,FS,HP (to zone 5),4 FEET,M,http://companionplants.com/catalog/images/Photo_Unavail.jpg
284,Eruca vesicaria or sativa Seed, $3.50 ,Seeds,FS,A,3 FEET,C M,http://companionplants.com/catalog/images/Photo_Unavail.jpg
285,Glycyrrhiza glabra Seed, $3.50 ,Seeds,FS,HP (zones 7-10,4 feet,C M,http://companionplants.com/catalog/images/thumbs/7-19-09%20044.jpg
286,Hypericum perforatum Seed, $3.50 ,Seeds,PS-FS,HP (zones 3-9),2 FEET,L M O,http://companionplants.com/catalog/images/thumbs/7-19-09%20002.jpg
287,Ipomea tricolor Seed, $3.50 ,Seeds,FS,A,20 FEET,L O,http://companionplants.com/catalog/images/Photo_Unavail.jpg
288,Lavandula angustifolia 'Munsted', $3.50 ,Seeds,FS,HP (zones 5-8),12 INCHES,A M O R,http://companionplants.com/catalog/images/Photo_Unavail.jpg
289,Lavandula angustifolia Seed, $3.50 ,Seeds,FS,HP (zones 5-8(,2 FEET,A M O R,http://companionplants.com/catalog/images/Photo_Unavail.jpg
290,Luffa aegyptiata Seed, $3.50 ,Seeds,FS,A,30 FEET,C,http://companionplants.com/catalog/images/Photo_Unavail.jpg
291,Lychnis coronaria Seed, $3.50 ,Seeds,FS,B (zones 4-8),3 FEET,M O,http://companionplants.com/catalog/images/thumbs/Lychnis%20coronaria.jpg
292,Matricaria chamomila Seed, $3.50 ,Seeds,FS,A,16 INCHES,A C M O,http://companionplants.com/catalog/images/thumbs/Matricaria%20chamomila.jpg
293,Monarda citriodora Seed, $3.50 ,Seeds,FS,A - B,3 FEET,A B C H N O R,http://companionplants.com/catalog/images/Monarda%20citriodora.jpg
294,Nicotiana rustica, $3.50 ,Seeds,FS,A,3 FEET,L M O R,http://companionplants.com/catalog/images/thumbs/Nicotiana%20rustica.jpg
295,Nicotiana tabacum Seed, $3.50 ,Seeds,FS,A,5 FEET,M O R,http://companionplants.com/catalog/images/thumbs/Nicotiana%20rustica.jpg
296,Ocimum americanum Seed, $3.50 ,Seeds,FS,A,30 INCHES,A C H M R,http://companionplants.com/catalog/images/Photo_Unavail.jpg
297,Ocimum basilicum 'Citriodorum' Seed, $3.50 ,Seeds,FS,A,2 FEET,A C H M O R,http://companionplants.com/catalog/images/Photo_Unavail.jpg
